,continent,country,population,cases,deaths,tests,day,time
0,North-America,Anguilla,15230.0,"{'new': None, 'active': 13, 'critical': 4, 'recovered': 3879, '1M_pop': '256336', 'total': 3904}","{'new': None, '1M_pop': '788', 'total': 12}","{'1M_pop': '3373736', 'total': 51382}",2023-05-30,2023-05-30T14:30:15+00:00
1,North-America,Saint-Pierre-Miquelon,5759.0,"{'new': None, 'active': 1001, 'critical': 1, 'recovered': 2449, '1M_pop': '599410', 'total': 3452}","{'new': None, '1M_pop': '347', 'total': 2}","{'1M_pop': '4410488', 'total': 25400}",2023-05-30,2023-05-30T14:30:15+00:00
2,Oceania,Tuvalu,12066.0,"{'new': None, 'active': 2805, 'critical': None, 'recovered': None, '1M_pop': '232471', 'total': 2805}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
3,Africa,Saint-Helena,6115.0,"{'new': None, 'active': 2164, 'critical': None, 'recovered': 2, '1M_pop': '354211', 'total': 2166}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
4,South-America,Falkland-Islands,3539.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1930, '1M_pop': '545352', 'total': 1930}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '2439107', 'total': 8632}",2023-05-30,2023-05-30T14:30:15+00:00
5,North-America,Montserrat,4965.0,"{'new': None, 'active': 19, 'critical': None, 'recovered': 1376, '1M_pop': '282578', 'total': 1403}","{'new': None, '1M_pop': '1611', 'total': 8}","{'1M_pop': '3577442', 'total': 17762}",2023-05-30,2023-05-30T14:30:15+00:00
6,,Diamond-Princess,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 699, '1M_pop': None, 'total': 712}","{'new': None, '1M_pop': None, 'total': 13}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
7,Europe,Vatican-City,799.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29, '1M_pop': '36295', 'total': 29}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
8,Africa,Western-Sahara,626161.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 9, '1M_pop': '16', 'total': 10}","{'new': None, '1M_pop': '2', 'total': 1}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
9,,MS-Zaandam,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 7, '1M_pop': None, 'total': 9}","{'new': None, '1M_pop': None, 'total': 2}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
10,Oceania,Tokelau,1378.0,"{'new': None, 'active': 5, 'critical': None, 'recovered': None, '1M_pop': '3628', 'total': 5}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
11,Asia,China,1448471400.0,"{'new': None, 'active': 118977, 'critical': None, 'recovered': 379053, '1M_pop': '347', 'total': 503302}","{'new': None, '1M_pop': '4', 'total': 5272}","{'1M_pop': '110461', 'total': 160000000}",2023-05-30,2023-05-30T14:30:15+00:00
12,Oceania,Nauru,10903.0,"{'new': None, 'active': 45, 'critical': None, 'recovered': 5347, '1M_pop': '494635', 'total': 5393}","{'new': None, '1M_pop': '92', 'total': 1}","{'1M_pop': '1881042', 'total': 20509}",2023-05-30,2023-05-30T14:30:15+00:00
13,Oceania,Palau,18233.0,"{'new': '+9', 'active': 2, 'critical': None, 'recovered': 5998, '1M_pop': '329567', 'total': 6009}","{'new': None, '1M_pop': '494', 'total': 9}","{'1M_pop': '3824330', 'total': 69729}",2023-05-30,2023-05-30T14:30:15+00:00
14,Asia,Macao,667490.0,"{'new': None, 'active': 12, 'critical': None, 'recovered': 3487, '1M_pop': '5423', 'total': 3620}","{'new': None, '1M_pop': '181', 'total': 121}","{'1M_pop': '11760', 'total': 7850}",2023-05-30,2023-05-30T14:30:15+00:00
15,North-America,St-Barth,9945.0,"{'new': '+8', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '552438', 'total': 5494}","{'new': None, '1M_pop': '603', 'total': 6}","{'1M_pop': '7908095', 'total': 78646}",2023-05-30,2023-05-30T14:30:15+00:00
16,Oceania,Kiribati,123419.0,"{'new': '+2', 'active': 2300, 'critical': 3, 'recovered': 2703, '1M_pop': '40731', 'total': 5027}","{'new': None, '1M_pop': '194', 'total': 24}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
17,Oceania,Wallis-and-Futuna,10982.0,"{'new': None, 'active': 3063, 'critical': None, 'recovered': 438, '1M_pop': '319432', 'total': 3508}","{'new': None, '1M_pop': '637', 'total': 7}","{'1M_pop': '1867419', 'total': 20508}",2023-05-30,2023-05-30T14:30:15+00:00
18,Oceania,Niue,1622.0,"{'new': '+4', 'active': 11, 'critical': None, 'recovered': 804, '1M_pop': '502466', 'total': 815}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
19,North-America,Cayman-Islands,67277.0,"{'new': None, 'active': 22882, 'critical': 1, 'recovered': 8553, '1M_pop': '467797', 'total': 31472}","{'new': None, '1M_pop': '550', 'total': 37}","{'1M_pop': '3311280', 'total': 222773}",2023-05-30,2023-05-30T14:30:14+00:00
20,Africa,Congo,5797805.0,"{'new': None, 'active': 983, 'critical': None, 'recovered': 24006, '1M_pop': '4377', 'total': 25375}","{'new': None, '1M_pop': '67', 'total': 386}","{'1M_pop': '59991', 'total': 347815}",2023-05-30,2023-05-30T14:30:14+00:00
21,Oceania,Solomon-Islands,721159.0,"{'new': None, 'active': None, 'critical': 1, 'recovered': None, '1M_pop': '34077', 'total': 24575}","{'new': None, '1M_pop': '212', 'total': 153}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:14+00:00
22,North-America,Nicaragua,6779100.0,"{'new': None, 'active': 14041, 'critical': None, 'recovered': 4225, '1M_pop': '2728', 'total': 18491}","{'new': None, '1M_pop': '33', 'total': 225}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:14+00:00
23,Africa,South-Sudan,11618511.0,"{'new': None, 'active': 115, 'critical': 1, 'recovered': 18115, '1M_pop': '1581', 'total': 18368}","{'new': None, '1M_pop': '12', 'total': 138}","{'1M_pop': '35313', 'total': 410280}",2023-05-30,2023-05-30T14:30:14+00:00
24,Asia,Tajikistan,9957464.0,"{'new': None, 'active': 397, 'critical': None, 'recovered': 17264, '1M_pop': '1786', 'total': 17786}","{'new': None, '1M_pop': '13', 'total': 125}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:14+00:00
25,North-America,Dominica,72344.0,"{'new': None, 'active': 13, 'critical': None, 'recovered': 15673, '1M_pop': '217848', 'total': 15760}","{'new': None, '1M_pop': '1023', 'total': 74}","{'1M_pop': '3170187', 'total': 229344}",2023-05-30,2023-05-30T14:30:14+00:00
26,Africa,Djibouti,1016097.0,"{'new': None, 'active': 74, 'critical': None, 'recovered': 15427, '1M_pop': '15441', 'total': 15690}","{'new': None, '1M_pop': '186', 'total': 189}","{'1M_pop': '301094', 'total': 305941}",2023-05-30,2023-05-30T14:30:14+00:00
27,Africa,CAR,5016678.0,"{'new': None, 'active': 55, 'critical': 2, 'recovered': 15200, '1M_pop': '3063', 'total': 15368}","{'new': None, '1M_pop': '23', 'total': 113}","{'1M_pop': '16205', 'total': 81294}",2023-05-30,2023-05-30T14:30:14+00:00
28,North-America,Greenland,56973.0,"{'new': None, 'active': 9189, 'critical': 4, 'recovered': 2761, '1M_pop': '210117', 'total': 11971}","{'new': None, '1M_pop': '369', 'total': 21}","{'1M_pop': '2894810', 'total': 164926}",2023-05-30,2023-05-30T14:30:14+00:00
29,Asia,Yemen,31154867.0,"{'new': None, 'active': 662, 'critical': 23, 'recovered': 9124, '1M_pop': '383', 'total': 11945}","{'new': None, '1M_pop': '69', 'total': 2159}","{'1M_pop': '10579', 'total': 329592}",2023-05-30,2023-05-30T14:30:14+00:00
30,Africa,Eritrea,3662244.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 10086, '1M_pop': '2782', 'total': 10189}","{'new': None, '1M_pop': '28', 'total': 103}","{'1M_pop': '6470', 'total': 23693}",2023-05-30,2023-05-30T14:30:14+00:00
31,Africa,Niger,26083660.0,"{'new': None, 'active': 729, 'critical': 1, 'recovered': 8890, '1M_pop': '381', 'total': 9931}","{'new': None, '1M_pop': '12', 'total': 312}","{'1M_pop': '9759', 'total': 254538}",2023-05-30,2023-05-30T14:30:14+00:00
32,North-America,Antigua-and-Barbuda,99509.0,"{'new': None, 'active': 6, 'critical': 1, 'recovered': 8954, '1M_pop': '91509', 'total': 9106}","{'new': None, '1M_pop': '1467', 'total': 146}","{'1M_pop': '189943', 'total': 18901}",2023-05-30,2023-05-30T14:30:14+00:00
33,North-America,British-Virgin-Islands,30596.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '238757', 'total': 7305}","{'new': None, '1M_pop': '2092', 'total': 64}","{'1M_pop': '3508269', 'total': 107339}",2023-05-30,2023-05-30T14:30:14+00:00
34,Africa,Burkina-Faso,22102838.0,"{'new': None, 'active': 64, 'critical': None, 'recovered': 21596, '1M_pop': '998', 'total': 22056}","{'new': None, '1M_pop': '18', 'total': 396}","{'1M_pop': '11265', 'total': 248995}",2023-05-30,2023-05-30T14:30:14+00:00
35,Africa,Equatorial-Guinea,1496662.0,"{'new': '+7', 'active': 139, 'critical': 5, 'recovered': 16907, '1M_pop': '11512', 'total': 17229}","{'new': None, '1M_pop': '122', 'total': 183}","{'1M_pop': '244342', 'total': 365697}",2023-05-30,2023-05-30T14:30:14+00:00
36,Africa,Liberia,5305117.0,"{'new': None, 'active': 12, 'critical': 2, 'recovered': 7783, '1M_pop': '1525', 'total': 8090}","{'new': None, '1M_pop': '56', 'total': 295}","{'1M_pop': '26356', 'total': 139824}",2023-05-30,2023-05-30T14:30:14+00:00
37,North-America,Caribbean-Netherlands,26647.0,"{'new': '+3', 'active': 1168, 'critical': None, 'recovered': 10476, '1M_pop': '438398', 'total': 11682}","{'new': None, '1M_pop': '1426', 'total': 38}","{'1M_pop': '1130559', 'total': 30126}",2023-05-30,2023-05-30T14:30:14+00:00
38,Africa,Somalia,16841795.0,"{'new': '+10', 'active': 12791, 'critical': None, 'recovered': 13182, '1M_pop': '1623', 'total': 27334}","{'new': None, '1M_pop': '81', 'total': 1361}","{'1M_pop': '23778', 'total': 400466}",2023-05-30,2023-05-30T14:30:14+00:00
39,Africa,Sierra-Leone,8306436.0,"{'new': '+2', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '934', 'total': 7762}","{'new': None, '1M_pop': '15', 'total': 126}","{'1M_pop': '31296', 'total': 259958}",2023-05-30,2023-05-30T14:30:14+00:00
40,Europe,Gibraltar,33704.0,"{'new': '+88', 'active': 3858, 'critical': None, 'recovered': 16579, '1M_pop': '609720', 'total': 20550}","{'new': '+2', '1M_pop': '3353', 'total': 113}","{'1M_pop': '15852213', 'total': 534283}",2023-05-30,2023-05-30T14:30:14+00:00
41,North-America,Bermuda,61939.0,"{'new': '+11', 'active': 10, 'critical': None, 'recovered': 18685, '1M_pop': '304493', 'total': 18860}","{'new': '+2', '1M_pop': '2664', 'total': 165}","{'1M_pop': '16622128', 'total': 1029558}",2023-05-30,2023-05-30T14:30:14+00:00
42,North-America,Sint-Maarten,43966.0,"{'new': '+7', 'active': 33, 'critical': None, 'recovered': 10905, '1M_pop': '250876', 'total': 11030}","{'new': '+1', '1M_pop': '2093', 'total': 92}","{'1M_pop': '1411454', 'total': 62056}",2023-05-30,2023-05-30T14:30:14+00:00
43,Oceania,Marshall-Islands,60057.0,"{'new': '+68', 'active': 110, 'critical': None, 'recovered': 15954, '1M_pop': '267762', 'total': 16081}","{'new': None, '1M_pop': '283', 'total': 17}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:14+00:00
44,Africa,Benin,12784726.0,"{'new': '+15', 'active': 4, 'critical': None, 'recovered': 27847, '1M_pop': '2191', 'total': 28014}","{'new': None, '1M_pop': '13', 'total': 163}","{'1M_pop': '47268', 'total': 604310}",2023-05-30,2023-05-30T14:30:14+00:00
45,Africa,Gambia,2558482.0,"{'new': '+28', 'active': 65, 'critical': None, 'recovered': 12189, '1M_pop': '4935', 'total': 12626}","{'new': None, '1M_pop': '145', 'total': 372}","{'1M_pop': '60851', 'total': 155686}",2023-05-30,2023-05-30T14:30:14+00:00
46,North-America,Saint-Lucia,185113.0,"{'new': None, 'active': 548, 'critical': None, 'recovered': 29095, '1M_pop': '162344', 'total': 30052}","{'new': None, '1M_pop': '2209', 'total': 409}","{'1M_pop': '1139752', 'total': 210983}",2023-05-30,2023-05-30T14:30:14+00:00
47,North-America,Grenada,113475.0,"{'new': '+10', 'active': 97, 'critical': 4, 'recovered': 19358, '1M_pop': '173545', 'total': 19693}","{'new': None, '1M_pop': '2097', 'total': 238}","{'1M_pop': '1612523', 'total': 182981}",2023-05-30,2023-05-30T14:30:14+00:00
48,North-America,Turks-and-Caicos,39741.0,"{'new': None, 'active': 21, 'critical': 4, 'recovered': 6529, '1M_pop': '165773', 'total': 6588}","{'new': None, '1M_pop': '956', 'total': 38}","{'1M_pop': '15408143', 'total': 612335}",2023-05-30,2023-05-30T14:30:14+00:00
49,Africa,Comoros,907419.0,"{'new': None, 'active': 9, 'critical': None, 'recovered': 8939, '1M_pop': '10038', 'total': 9109}","{'new': None, '1M_pop': '177', 'total': 161}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:14+00:00
50,Oceania,Vanuatu,321832.0,"{'new': None, 'active': 26, 'critical': None, 'recovered': 11976, '1M_pop': '37336', 'total': 12016}","{'new': None, '1M_pop': '44', 'total': 14}","{'1M_pop': '77606', 'total': 24976}",2023-05-30,2023-05-30T14:30:14+00:00
51,Africa,Guinea-Bissau,2063367.0,"{'new': None, 'active': 508, 'critical': 6, 'recovered': 8929, '1M_pop': '4659', 'total': 9614}","{'new': None, '1M_pop': '86', 'total': 177}","{'1M_pop': '70385', 'total': 145231}",2023-05-30,2023-05-30T14:30:14+00:00
52,Oceania,Samoa,202239.0,"{'new': None, 'active': 15127, 'critical': None, 'recovered': 1605, '1M_pop': '82887', 'total': 16763}","{'new': None, '1M_pop': '153', 'total': 31}","{'1M_pop': '926612', 'total': 187397}",2023-05-30,2023-05-30T14:30:14+00:00
53,Africa,Chad,17413580.0,"{'new': None, 'active': 2633, 'critical': None, 'recovered': 4874, '1M_pop': '442', 'total': 7701}","{'new': None, '1M_pop': '11', 'total': 194}","{'1M_pop': '10988', 'total': 191341}",2023-05-30,2023-05-30T14:30:14+00:00
54,North-America,St-Vincent-Grenadines,111551.0,"{'new': '+12', 'active': 14, 'critical': None, 'recovered': 9493, '1M_pop': '86337', 'total': 9631}","{'new': None, '1M_pop': '1112', 'total': 124}","{'1M_pop': '1023720', 'total': 114197}",2023-05-30,2023-05-30T14:30:14+00:00
55,Oceania,Tonga,107749.0,"{'new': '+1', 'active': 1166, 'critical': None, 'recovered': 15638, '1M_pop': '156076', 'total': 16817}","{'new': None, '1M_pop': '121', 'total': 13}","{'1M_pop': '4965327', 'total': 535009}",2023-05-30,2023-05-30T14:30:14+00:00
56,Oceania,Micronesia,117489.0,"{'new': None, 'active': None, 'critical': 1, 'recovered': None, '1M_pop': '225196', 'total': 26458}","{'new': None, '1M_pop': '553', 'total': 65}","{'1M_pop': '699453', 'total': 82178}",2023-05-30,2023-05-30T14:30:14+00:00
57,Africa,Sao-Tome-and-Principe,227679.0,"{'new': '+6', 'active': 6, 'critical': None, 'recovered': 6500, '1M_pop': '28927', 'total': 6586}","{'new': None, '1M_pop': '351', 'total': 80}","{'1M_pop': '127530', 'total': 29036}",2023-05-30,2023-05-30T14:30:14+00:00
58,Asia,Timor-Leste,1369429.0,"{'new': '+1', 'active': 204, 'critical': None, 'recovered': 23102, '1M_pop': '17120', 'total': 23444}","{'new': None, '1M_pop': '101', 'total': 138}","{'1M_pop': '203391', 'total': 278529}",2023-05-30,2023-05-30T14:30:14+00:00
59,North-America,Saint-Martin,39730.0,"{'new': '+3', 'active': 10841, 'critical': 7, 'recovered': 1399, '1M_pop': '309665', 'total': 12303}","{'new': None, '1M_pop': '1586', 'total': 63}","{'1M_pop': '2828643', 'total': 112382}",2023-05-30,2023-05-30T14:30:14+00:00
60,Oceania,Cook-Islands,17571.0,"{'new': '+14', 'active': 12, 'critical': None, 'recovered': 7106, '1M_pop': '405213', 'total': 7120}","{'new': None, '1M_pop': '114', 'total': 2}","{'1M_pop': '1120596', 'total': 19690}",2023-05-30,2023-05-30T14:30:14+00:00
61,Europe,Liechtenstein,38387.0,"{'new': '+1', 'active': 2, 'critical': None, 'recovered': 21350, '1M_pop': '558679', 'total': 21446}","{'new': None, '1M_pop': '2449', 'total': 94}","{'1M_pop': '2929559', 'total': 112457}",2023-05-30,2023-05-30T14:30:14+00:00
62,Europe,Monaco,39783.0,"{'new': '+5', 'active': 730, 'critical': 4, 'recovered': 15992, '1M_pop': '422014', 'total': 16789}","{'new': None, '1M_pop': '1684', 'total': 67}","{'1M_pop': '1976875', 'total': 78646}",2023-05-30,2023-05-30T14:30:14+00:00
63,North-America,Saint-Kitts-and-Nevis,53871.0,"{'new': '+2', 'active': 2, 'critical': None, 'recovered': 6552, '1M_pop': '122552', 'total': 6602}","{'new': None, '1M_pop': '891', 'total': 48}","{'1M_pop': '2356444', 'total': 126944}",2023-05-30,2023-05-30T14:30:14+00:00
64,Africa,Mali,21473764.0,"{'new': None, 'active': 74, 'critical': None, 'recovered': 32331, '1M_pop': '1544', 'total': 33148}","{'new': None, '1M_pop': '35', 'total': 743}","{'1M_pop': '37459', 'total': 804377}",2023-05-30,2023-05-30T14:30:14+00:00
65,Europe,San-Marino,34085.0,"{'new': '+22', 'active': 11, 'critical': 4, 'recovered': 24149, '1M_pop': '712483', 'total': 24285}","{'new': None, '1M_pop': '3667', 'total': 125}","{'1M_pop': '5775414', 'total': 196855}",2023-05-30,2023-05-30T14:30:14+00:00
66,Asia,Oman,5323993.0,"{'new': None, 'active': 10152, 'critical': 2, 'recovered': 384669, '1M_pop': '75028', 'total': 399449}","{'new': None, '1M_pop': '869', 'total': 4628}","{'1M_pop': '4695724', 'total': 25000000}",2023-05-30,2023-05-30T14:30:13+00:00
67,North-America,El-Salvador,6550389.0,"{'new': None, 'active': 18145, 'critical': 8, 'recovered': 179410, '1M_pop': '30805', 'total': 201785}","{'new': None, '1M_pop': '646', 'total': 4230}","{'1M_pop': '398467', 'total': 2610114}",2023-05-30,2023-05-30T14:30:13+00:00
68,North-America,Cura&ccedil;ao,165529.0,"{'new': None, 'active': 971, 'critical': 3, 'recovered': 44720, '1M_pop': '277812', 'total': 45986}","{'new': None, '1M_pop': '1782', 'total': 295}","{'1M_pop': '3000640', 'total': 496693}",2023-05-30,2023-05-30T14:30:13+00:00
69,Europe,Isle-of-Man,85732.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '443335', 'total': 38008}","{'new': None, '1M_pop': '1353', 'total': 116}","{'1M_pop': '1758422', 'total': 150753}",2023-05-30,2023-05-30T14:30:13+00:00
70,Africa,Lesotho,2175699.0,"{'new': None, 'active': 8087, 'critical': None, 'recovered': 25980, '1M_pop': '15990', 'total': 34790}","{'new': None, '1M_pop': '332', 'total': 723}","{'1M_pop': '198199', 'total': 431221}",2023-05-30,2023-05-30T14:30:13+00:00
71,Europe,Faeroe-Islands,49233.0,"{'new': None, 'active': None, 'critical': 5, 'recovered': None, '1M_pop': '703959', 'total': 34658}","{'new': None, '1M_pop': '569', 'total': 28}","{'1M_pop': '15802409', 'total': 778000}",2023-05-30,2023-05-30T14:30:13+00:00
72,South-America,French-Guiana,314169.0,"{'new': '+13', 'active': 86367, 'critical': 6, 'recovered': 11254, '1M_pop': '312065', 'total': 98041}","{'new': None, '1M_pop': '1337', 'total': 420}","{'1M_pop': '2072951', 'total': 651257}",2023-05-30,2023-05-30T14:30:13+00:00
73,Africa,Rwanda,13600464.0,"{'new': '+14', 'active': 79, 'critical': None, 'recovered': 131647, '1M_pop': '9793', 'total': 133194}","{'new': None, '1M_pop': '108', 'total': 1468}","{'1M_pop': '442778', 'total': 6021981}",2023-05-30,2023-05-30T14:30:13+00:00
74,North-America,Belize,412190.0,"{'new': '+25', 'active': 9, 'critical': 6, 'recovered': 70085, '1M_pop': '171722', 'total': 70782}","{'new': None, '1M_pop': '1669', 'total': 688}","{'1M_pop': '1397453', 'total': 576016}",2023-05-30,2023-05-30T14:30:13+00:00
75,Africa,Seychelles,99426.0,"{'new': None, 'active': 15, 'critical': None, 'recovered': 50750, '1M_pop': '512311', 'total': 50937}","{'new': None, '1M_pop': '1730', 'total': 172}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:13+00:00
76,Europe,Iceland,345393.0,"{'new': '+23', 'active': None, 'critical': 2, 'recovered': None, '1M_pop': '605661', 'total': 209191}","{'new': None, '1M_pop': '663', 'total': 229}","{'1M_pop': '5780036', 'total': 1996384}",2023-05-30,2023-05-30T14:30:13+00:00
77,Europe,Channel-Islands,176463.0,"{'new': '+91', 'active': 168, 'critical': None, 'recovered': 101321, '1M_pop': '576421', 'total': 101717}","{'new': None, '1M_pop': '1292', 'total': 228}","{'1M_pop': '7099551', 'total': 1252808}",2023-05-30,2023-05-30T14:30:13+00:00
78,Africa,Nigeria,216746934.0,"{'new': '+10', 'active': 3567, 'critical': 11, 'recovered': 259953, '1M_pop': '1230', 'total': 266675}","{'new': None, '1M_pop': '15', 'total': 3155}","{'1M_pop': '26339', 'total': 5708974}",2023-05-30,2023-05-30T14:30:13+00:00
79,Africa,Mauritania,4901981.0,"{'new': '+47', 'active': 247, 'critical': None, 'recovered': 62471, '1M_pop': '12998', 'total': 63715}","{'new': None, '1M_pop': '203', 'total': 997}","{'1M_pop': '206030', 'total': 1009957}",2023-05-30,2023-05-30T14:30:13+00:00
80,Europe,Albania,2866374.0,"{'new': '+12', 'active': 1696, 'critical': None, 'recovered': 329428, '1M_pop': '116777', 'total': 334726}","{'new': None, '1M_pop': '1257', 'total': 3602}","{'1M_pop': '677173', 'total': 1941032}",2023-05-30,2023-05-30T14:30:13+00:00
81,Africa,Mayotte,286259.0,"{'new': '+19', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '146815', 'total': 42027}","{'new': None, '1M_pop': '657', 'total': 188}","{'1M_pop': '618038', 'total': 176919}",2023-05-30,2023-05-30T14:30:13+00:00
82,Oceania,New-Caledonia,290915.0,"{'new': '+1', 'active': 3, 'critical': 9, 'recovered': 79605, '1M_pop': '274726', 'total': 79922}","{'new': None, '1M_pop': '1079', 'total': 314}","{'1M_pop': '340182', 'total': 98964}",2023-05-30,2023-05-30T14:30:13+00:00
83,Africa,Angola,35027343.0,"{'new': '+31', 'active': 31, 'critical': None, 'recovered': 103419, '1M_pop': '3009', 'total': 105384}","{'new': None, '1M_pop': '55', 'total': 1934}","{'1M_pop': '42818', 'total': 1499795}",2023-05-30,2023-05-30T14:30:13+00:00
84,Africa,Ghana,32395450.0,"{'new': '+4', 'active': 34, 'critical': 2, 'recovered': 170161, '1M_pop': '5299', 'total': 171657}","{'new': None, '1M_pop': '45', 'total': 1462}","{'1M_pop': '78298', 'total': 2536496}",2023-05-30,2023-05-30T14:30:13+00:00
85,North-America,Bahamas,400516.0,"{'new': None, 'active': 874, 'critical': 1, 'recovered': 36366, '1M_pop': '95087', 'total': 38084}","{'new': None, '1M_pop': '2107', 'total': 844}","{'1M_pop': '643767', 'total': 257839}",2023-05-30,2023-05-30T14:30:13+00:00
86,Oceania,Fiji,909466.0,"{'new': '+3', 'active': 1009, 'critical': None, 'recovered': 67029, '1M_pop': '75782', 'total': 68921}","{'new': None, '1M_pop': '971', 'total': 883}","{'1M_pop': '737689', 'total': 670903}",2023-05-30,2023-05-30T14:30:13+00:00
87,North-America,Trinidad-and-Tobago,1406585.0,"{'new': '+146', 'active': 28, 'critical': 8, 'recovered': 187078, '1M_pop': '136143', 'total': 191496}","{'new': '+3', '1M_pop': '3121', 'total': 4390}","{'1M_pop': '649295', 'total': 913289}",2023-05-30,2023-05-30T14:30:13+00:00
88,Africa,Mozambique,33089461.0,"{'new': '+83', 'active': 2369, 'critical': 11, 'recovered': 228805, '1M_pop': '7054', 'total': 233417}","{'new': '+1', '1M_pop': '68', 'total': 2243}","{'1M_pop': '41437', 'total': 1371127}",2023-05-30,2023-05-30T14:30:13+00:00
89,Africa,Senegal,17653671.0,"{'new': '+2', 'active': 2, 'critical': None, 'recovered': 87024, '1M_pop': '5041', 'total': 88997}","{'new': None, '1M_pop': '112', 'total': 1971}","{'1M_pop': '64946', 'total': 1146543}",2023-05-30,2023-05-30T14:30:13+00:00
90,Africa,Malawi,20180839.0,"{'new': '+6', 'active': 391, 'critical': 67, 'recovered': 85651, '1M_pop': '4397', 'total': 88728}","{'new': None, '1M_pop': '133', 'total': 2686}","{'1M_pop': '30959', 'total': 624784}",2023-05-30,2023-05-30T14:30:13+00:00
91,Europe,Luxembourg,642371.0,"{'new': None, 'active': 2037, 'critical': None, 'recovered': 316690, '1M_pop': '498091', 'total': 319959}","{'new': None, '1M_pop': '1918', 'total': 1232}","{'1M_pop': '7140959', 'total': 4587145}",2023-05-30,2023-05-30T14:30:13+00:00
92,Africa,Eswatini,1184817.0,"{'new': None, 'active': 129, 'critical': None, 'recovered': 73116, '1M_pop': '63022', 'total': 74670}","{'new': None, '1M_pop': '1203', 'total': 1425}","{'1M_pop': '885119', 'total': 1048704}",2023-05-30,2023-05-30T14:30:13+00:00
93,Europe,Andorra,77463.0,"{'new': None, 'active': 287, 'critical': 14, 'recovered': 47563, '1M_pop': '619844', 'total': 48015}","{'new': None, '1M_pop': '2130', 'total': 165}","{'1M_pop': '3225256', 'total': 249838}",2023-05-30,2023-05-30T14:30:13+00:00
94,North-America,Aruba,107609.0,"{'new': '+66', 'active': 1506, 'critical': 2, 'recovered': 42438, '1M_pop': '410560', 'total': 44180}","{'new': None, '1M_pop': '2193', 'total': 236}","{'1M_pop': '1653068', 'total': 177885}",2023-05-30,2023-05-30T14:30:13+00:00
95,Africa,Tanzania,63298550.0,"{'new': None, 'active': None, 'critical': 7, 'recovered': None, '1M_pop': '681', 'total': 43078}","{'new': None, '1M_pop': '13', 'total': 846}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:13+00:00
96,Africa,Zambia,19470234.0,"{'new': None, 'active': 79, 'critical': None, 'recovered': 339858, '1M_pop': '17668', 'total': 343995}","{'new': None, '1M_pop': '208', 'total': 4058}","{'1M_pop': '207903', 'total': 4047915}",2023-05-30,2023-05-30T14:30:13+00:00
97,South-America,Suriname,596831.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '138252', 'total': 82513}","{'new': None, '1M_pop': '2354', 'total': 1405}","{'1M_pop': '405210', 'total': 241842}",2023-05-30,2023-05-30T14:30:13+00:00
98,Africa,Zimbabwe,15331428.0,"{'new': '+72', 'active': 270, 'critical': 12, 'recovered': 258888, '1M_pop': '17275', 'total': 264848}","{'new': '+1', '1M_pop': '371', 'total': 5690}","{'1M_pop': '164744', 'total': 2525756}",2023-05-30,2023-05-30T14:30:13+00:00
